실종나이,성별,하늘상태,강수형태,기온,가출이력,거주지 주소,발생지 주소,월,시간,발생장소
69,0,3,0,0.8,0,5,5,1,8,1
65,0,1,0,6.3,0,3,4,1,17,1
76,1,3,0,3.5,0,2,2,1,12,1
79,1,3,0,3.5,0,2,2,1,12,1
67,0,1,0,5.0,0,2,2,1,18,0
86,0,1,0,0.2,0,3,3,1,1,1
83,1,1,0,0.2,0,3,3,1,1,1
87,1,1,0,5.0,0,2,4,1,18,1
92,0,3,0,1.0,0,2,2,1,9,1
89,1,3,0,0.6,0,0,0,1,9,1
88,0,3,0,1.8,0,4,4,1,10,0
87,1,2,0,6.0,0,4,0,1,12,1
61,1,2,0,5.8,0,2,4,1,12,1
88,1,3,0,6.2,0,2,1,1,13,1
90,1,2,0,5.8,0,2,2,1,12,1
84,1,2,0,7.1,0,2,2,1,14,1
87,0,2,0,7.1,0,5,5,1,14,1
78,0,4,0,7.7,0,3,3,1,16,1
78,0,4,0,7.5,0,1,0,1,16,1
74,1,2,0,4.2,0,0,1,1,11,1
78,1,4,1,5.5,0,4,4,1,22,1
83,0,3,0,2.3,0,0,0,1,10,0
67,0,4,0,7.9,0,0,0,1,15,1
74,1,4,0,22.700001,0,1,3,9,17,0
73,1,1,0,-7.3,0,0,0,1,23,1
78,1,2,0,-1.9,0,2,2,1,8,0
82,0,2,0,-1.7,0,5,1,1,7,1
67,1,1,0,-2.1,0,5,4,1,10,1
78,0,1,0,-2.1,0,4,4,1,10,1
78,1,1,0,-2.8,0,0,0,1,12,1
72,1,1,0,-2.8,0,0,0,1,12,1
73,1,2,0,5.8,0,3,3,1,14,0
81,0,1,0,-1.2,0,2,2,1,11,1
80,0,1,0,-2.1,0,3,3,1,10,1
62,0,1,0,-2.1,0,0,3,1,10,1
69,1,1,0,-4.3,0,0,4,1,20,1
85,0,1,0,-0.6,0,5,5,1,16,0
84,0,1,0,-1.4,0,3,0,1,14,0
90,0,1,0,-4.4,0,1,1,1,18,1
75,1,1,0,-2.9,0,0,0,1,17,1
90,0,1,0,-8.7,0,5,1,1,7,1
74,0,1,0,-6.4,0,5,5,1,8,1
68,1,1,0,-7.7,0,0,0,1,9,1
72,0,1,0,-6.5,0,3,3,1,7,1
67,1,4,1,24.299999,0,1,1,7,8,1
77,1,4,1,24.299999,0,5,1,7,8,0
81,0,1,0,-0.9,0,0,2,1,15,1
83,0,1,0,-1.7,0,2,5,1,14,1
85,1,2,0,-1.8,0,3,3,1,17,1
74,1,1,0,-3.4,0,1,1,1,18,0
62,0,1,0,-1.7,0,4,4,1,14,1
72,1,1,0,-7.2,0,0,3,1,7,1
86,0,1,0,-2.4,0,5,5,1,12,0
80,1,1,0,-9.1,0,1,1,1,7,0
81,0,1,0,-6.0,0,4,4,1,10,1
83,0,1,0,-3.3,0,0,0,1,12,1
81,1,1,0,-1.0,0,3,3,1,17,0
73,1,1,0,-4.6,0,0,0,1,22,1
73,0,1,0,-1.7,0,4,4,1,13,1
85,1,1,0,-3.3,0,4,1,1,19,1
90,0,1,0,-1.4,0,0,0,1,14,1
81,0,1,0,-4.9,0,2,2,1,4,1
81,0,1,0,-4.9,0,2,2,1,4,1
64,0,1,0,-0.1,0,1,1,1,15,1
71,0,2,0,3.1,0,0,1,1,14,0
85,1,1,0,-5.1,0,2,4,1,9,1
57,0,1,0,2.4,0,2,3,1,16,1
80,1,1,0,3.2,0,2,0,1,15,1
68,1,1,0,2.4,0,2,2,1,16,1
57,0,1,0,-1.2,0,4,0,1,21,1
74,1,1,0,4.8,0,3,3,1,15,1
72,0,1,0,-1.4,0,3,3,1,2,1
83,0,1,0,-1.5,0,2,2,1,11,1
78,1,1,0,1.6,0,5,5,1,18,1
78,0,1,0,0.1,0,5,2,1,11,1
76,1,1,0,2.7,0,2,2,1,12,1
83,1,1,0,-1.9,0,5,5,1,10,0
56,1,1,0,3.6,1,5,5,1,13,1
57,0,1,0,3.6,0,2,5,1,13,1
80,0,1,0,-4.3,0,1,1,1,9,1
73,0,1,0,3.8,0,1,1,1,13,1
78,1,2,0,3.5,0,1,1,1,17,0
90,1,2,0,3.5,0,1,1,1,17,1
67,1,3,0,22.0,0,2,4,6,9,1
67,1,3,0,22.0,0,1,4,6,9,1
70,1,1,0,2.9,0,5,4,1,19,1
64,0,1,0,3.6,0,2,2,1,13,1
82,1,1,0,2.8,0,0,0,1,12,1
75,1,2,0,2.0,0,3,3,1,23,0
68,1,1,0,0.2,0,3,3,1,10,1
81,1,1,0,0.2,0,3,3,1,10,0
80,0,1,0,0.9,0,5,0,1,13,1
77,0,1,0,0.9,0,5,0,1,13,1
85,0,1,0,0.1,0,0,0,1,12,0
72,1,1,0,1.7,0,5,5,1,13,1
70,1,1,0,1.7,0,3,5,1,13,1
83,1,1,0,1.7,0,5,4,1,13,0
83,1,1,0,1.4,0,3,3,1,12,1
75,1,1,0,1.7,0,0,3,1,13,1
64,0,1,0,2.3,0,0,3,1,15,1
72,1,1,0,2.3,0,3,3,1,15,1
76,1,1,0,0.9,0,4,1,1,13,1
79,1,1,0,1.8,0,1,1,1,14,1
88,1,1,0,1.4,0,4,4,1,12,1
80,0,1,0,2.2,0,5,5,1,14,1
64,0,1,0,2.0,0,0,2,1,16,1
96,1,1,0,2.0,0,4,3,1,16,1
76,1,1,0,-0.4,0,1,1,1,11,1
82,1,1,0,0.2,0,3,5,1,10,1
83,1,1,0,0.0,0,1,1,1,18,1
68,1,1,0,0.0,0,3,3,1,19,1
78,0,1,0,2.0,0,1,1,1,16,1
84,1,1,0,-2.2,0,5,5,1,0,1
82,1,1,0,-0.8,0,5,5,1,20,1
92,1,1,0,-6.5,0,0,0,1,6,1
70,0,2,0,2.6,0,0,0,1,18,1
91,1,1,0,-2.7,0,1,1,1,21,1
75,1,1,0,-4.6,0,3,2,1,9,0
76,0,1,0,-4.6,0,5,2,1,9,1
56,0,1,0,-0.1,0,4,0,1,19,1
83,0,1,0,-0.1,0,0,0,1,19,1
76,1,1,0,0.1,0,0,5,1,12,1
69,1,1,0,0.9,0,5,5,1,13,1
76,0,1,0,-3.7,0,2,2,1,4,1
70,0,1,0,-1.8,0,0,2,1,11,1
71,0,1,0,-1.8,0,2,2,1,11,1
76,1,1,0,-3.7,0,1,1,1,10,0
81,1,1,0,2.4,0,1,3,1,16,1
91,0,1,0,2.4,0,3,3,1,16,0
61,0,1,0,2.9,0,3,3,1,15,1
74,0,1,0,1.8,0,3,3,1,14,0
74,1,1,0,1.4,0,1,1,1,17,1
77,0,1,0,-0.2,0,0,0,1,18,1
79,1,1,0,1.9,0,1,5,1,17,1
85,1,1,0,0.1,0,0,4,1,12,1
71,0,1,0,0.1,0,4,4,1,12,1
67,1,1,0,1.9,0,4,4,1,17,1
66,1,1,0,0.4,0,3,3,1,19,1
79,1,1,0,2.9,0,1,1,1,16,0
69,1,1,0,-2.6,0,1,1,1,21,1
77,0,1,0,-0.2,0,2,2,1,21,1
60,0,1,0,-2.2,0,0,5,1,0,1
83,1,1,0,0.4,0,2,2,1,19,1
75,1,2,0,2.6,0,1,1,1,12,1
75,1,3,0,-2.1,0,4,4,1,10,1
83,0,3,0,-2.1,0,4,4,1,10,1
72,0,3,0,-3.9,0,2,2,1,8,1
73,1,2,0,4.1,0,4,1,1,13,1
79,0,2,0,4.1,0,5,1,1,13,1
72,1,1,0,-1.6,0,3,3,1,23,1
77,0,2,0,1.2,0,3,3,1,12,1
62,0,2,0,4.0,0,0,3,1,13,1
75,0,3,0,2.6,0,1,1,1,19,1
77,1,3,0,4.3,0,4,4,1,18,1
68,1,3,0,3.4,0,4,3,1,20,0
79,0,3,0,1.9,0,2,5,1,22,1
88,1,3,0,2.6,0,0,0,1,19,1
86,1,3,0,1.7,0,2,5,1,0,0
74,0,4,0,7.7,0,1,0,3,5,1
70,1,4,0,1.4,0,1,1,1,10,1
78,1,4,0,4.7,0,1,1,1,13,1
74,1,4,0,3.1,0,5,5,1,12,1
64,0,4,0,2.7,0,0,5,1,11,1
72,1,4,0,4.6,0,2,1,1,16,1
77,0,4,0,5.8,0,2,2,1,16,1
85,0,4,0,5.7,0,5,5,1,15,1
85,0,4,0,6.1,0,0,0,1,14,1
76,1,1,0,-1.8,0,4,4,1,22,1
76,1,1,0,-1.8,0,4,4,1,22,1
79,0,3,0,5.4,0,1,5,1,17,1
78,1,3,0,4.2,0,0,0,1,17,1
79,1,4,0,3.6,0,1,1,1,19,1
70,1,4,0,5.8,0,4,4,1,16,0
85,1,4,0,5.7,0,1,3,1,15,1
77,1,4,0,1.4,0,0,0,1,10,1
77,1,4,0,5.0,0,3,2,1,19,1
69,0,2,0,0.7,0,2,4,1,7,1
76,0,4,0,3.3,0,1,1,1,22,1
76,1,3,0,1.3,0,0,0,1,10,1
77,1,3,0,1.3,0,0,0,1,10,1
88,0,3,0,3.2,0,1,1,1,11,1
83,0,3,0,0.0,0,1,1,1,9,0
83,1,2,0,7.5,0,1,1,1,13,1
74,0,2,0,7.5,0,2,1,1,13,1
85,1,3,0,3.8,0,4,4,1,11,1
79,1,3,0,2.7,0,5,5,1,10,1
78,1,3,0,2.7,0,2,2,1,10,1
77,1,3,0,2.7,0,2,2,1,10,1
90,0,1,0,8.3,0,3,4,1,15,1
82,1,3,0,3.8,0,5,5,1,11,1
84,0,1,0,7.9,0,5,5,1,16,0
65,0,3,0,0.9,0,2,2,1,8,1
76,0,1,0,8.3,0,0,3,1,15,1
80,1,1,0,8.3,0,2,5,1,15,1
74,1,1,0,6.8,0,1,1,1,17,1
75,0,2,0,7.5,0,0,0,1,13,1
71,0,2,0,7.5,0,0,0,1,13,1
73,1,1,0,6.8,0,3,3,1,17,1
53,0,1,0,3.9,0,2,4,1,20,1
59,1,2,0,6.6,0,5,5,1,13,1
77,0,1,0,3.2,0,3,5,1,23,1
84,0,4,0,2.4,0,1,2,1,11,1
68,1,4,0,1.6,0,0,4,1,9,1
84,1,1,0,8.3,0,5,0,1,16,1
76,0,4,0,2.4,0,4,0,1,8,1
74,1,4,0,2.2,0,5,1,1,7,1
73,1,4,3,2.5,0,5,5,1,10,1
73,1,4,0,1.6,0,4,4,1,15,1
77,1,4,3,1.9,0,1,1,1,10,1
71,0,4,0,2.1,0,2,3,1,16,1
87,1,4,0,2.1,0,1,3,1,16,1
86,1,4,0,3.4,0,2,2,1,12,0
85,0,4,0,2.1,0,2,2,1,16,1
84,0,4,0,2.1,1,3,2,1,16,1
74,0,4,0,2.6,0,1,1,1,9,1
77,0,3,0,1.5,0,3,3,1,18,1
90,0,4,0,1.9,0,0,0,1,11,0
82,0,4,0,2.2,0,1,1,1,14,1
89,1,4,0,1.0,0,1,1,1,17,1
70,1,4,0,1.8,0,5,5,1,17,0
74,0,4,0,20.9,0,3,3,9,3,1
71,1,4,0,3.1,0,0,2,1,8,1
76,0,3,0,-1.0,0,1,1,1,21,1
87,1,2,0,-3.8,1,0,0,1,2,1
71,1,1,0,-4.9,0,4,3,1,9,1
80,1,1,0,-5.6,0,3,3,1,7,1
80,1,1,0,-3.0,0,5,1,1,12,1
86,0,1,0,-3.6,0,4,5,1,10,1
60,1,4,0,1.1,0,0,0,1,15,1
80,1,1,0,-0.5,0,2,2,1,17,1
84,1,1,0,-5.6,0,2,2,1,8,0
92,1,1,0,-0.9,0,1,1,1,15,1
74,1,1,0,-1.3,0,2,4,1,13,0
69,0,2,0,-1.3,1,2,2,1,0,0
84,1,1,0,-0.5,0,5,5,1,17,1
79,0,1,0,-4.5,0,1,1,1,11,0
53,0,1,0,-0.4,0,5,5,1,14,1
76,0,1,0,-0.4,0,2,2,1,14,1
82,0,1,0,-0.8,0,1,1,1,14,1
54,1,1,0,-1.8,0,2,2,1,22,1
71,0,1,0,-1.8,0,0,0,1,18,1
90,0,1,0,-1.8,0,0,0,1,18,1
83,1,1,0,-0.1,0,3,0,1,16,1
72,0,1,0,-5.6,0,3,3,1,8,1
71,0,1,0,-2.2,0,0,0,1,13,1
76,0,1,0,-2.4,0,4,4,1,23,1
69,0,1,0,-2.3,0,5,5,1,1,1
72,1,3,0,-5.5,0,4,1,1,6,1
64,0,4,0,23.9,0,3,3,9,16,1
83,0,3,0,-3.8,0,5,5,1,9,1
66,0,3,0,-2.4,0,5,5,1,10,0
76,0,3,0,-4.7,0,4,4,1,8,1
60,1,3,0,0.2,0,2,3,1,12,1
72,1,3,0,0.2,0,3,3,1,12,1
68,1,3,0,1.8,0,3,1,1,13,1
84,1,3,0,-1.2,0,2,2,1,11,1
74,0,1,0,-4.9,0,4,4,1,9,1
88,1,3,0,0.5,0,3,3,1,13,1
78,0,3,0,-1.2,0,5,3,1,11,1
65,0,4,3,1.7,0,0,0,1,16,1
82,1,4,3,1.7,0,1,0,1,15,1
83,1,3,0,0.5,0,1,4,1,13,1
63,0,4,3,2.1,0,3,3,1,16,1
115,1,4,3,0.5,0,2,0,1,22,1
78,1,4,2,0.9,0,1,1,1,2,1
78,1,4,2,1.6,0,5,5,1,2,1
65,0,2,0,2.2,0,3,5,1,5,1
66,0,3,0,1.1,0,0,0,1,4,1
88,1,3,0,1.1,0,0,0,1,4,1
89,1,2,0,1.5,0,4,4,1,7,1
81,0,3,0,1.1,0,1,1,1,4,1
87,0,2,0,-2.4,0,1,1,1,5,0
62,0,1,0,2.9,0,4,5,1,12,1
70,0,1,0,2.9,0,0,5,1,12,1
68,1,2,0,3.5,0,2,2,1,13,1
73,1,2,0,2.6,0,3,3,1,14,1
67,1,2,0,2.6,0,0,3,1,14,1
73,1,2,0,2.0,0,3,4,1,15,1
71,1,2,0,2.1,0,3,1,1,15,1
65,0,3,0,0.9,0,0,0,1,16,1
69,0,3,0,2.1,0,5,4,1,16,1
83,1,2,0,2.6,0,2,2,1,14,1
59,0,1,0,0.3,0,5,0,1,17,1
68,0,2,0,2.0,0,3,5,1,15,1
84,1,3,0,2.1,0,2,3,1,16,1
84,0,1,0,2.3,0,2,2,1,10,1
74,1,1,0,-0.5,0,3,3,1,20,0
71,1,1,0,-1.7,0,5,5,1,23,1
87,0,1,0,0.4,0,2,2,1,18,1
68,0,4,0,29.5,0,2,2,7,12,1
88,1,4,0,1.3,0,2,1,2,11,1
76,0,2,0,-1.1,0,3,4,1,11,1
92,0,2,0,1.0,0,4,4,1,13,1
79,0,3,0,3.5,0,1,2,1,16,1
31,1,3,0,3.5,0,1,3,1,16,1
61,0,3,0,3.7,0,0,2,1,15,1
82,0,3,0,3.7,0,5,5,1,17,1
72,0,3,0,3.7,0,2,2,1,17,1
79,1,1,0,-4.7,0,5,5,1,6,1
81,0,1,0,-2.9,0,3,3,1,10,1
54,0,3,0,1.6,0,1,2,1,22,1
87,1,2,0,-1.0,0,1,1,1,8,1
78,1,4,0,3.5,0,2,2,1,12,1
90,0,4,0,-0.1,0,1,1,1,9,0
81,1,4,0,4.0,0,0,0,1,12,1
78,0,4,0,2.8,0,5,0,1,11,1
74,0,4,0,6.3,0,5,0,1,16,1
77,0,4,0,6.3,0,0,0,1,16,1
74,1,4,0,6.4,0,2,1,1,15,1
72,0,4,0,2.7,0,4,4,1,11,1
85,0,4,0,6.3,0,1,1,1,16,1
77,0,4,0,1.3,0,4,4,1,10,1
86,0,4,0,6.2,0,2,2,1,14,1
70,1,4,0,6.1,0,2,2,1,17,1
74,0,4,0,5.2,0,0,1,1,18,1
81,0,4,0,4.5,0,1,1,1,19,1
64,1,4,0,5.9,0,4,1,1,17,0
73,1,4,0,6.1,0,3,3,1,17,1
81,1,4,0,4.6,0,3,5,1,20,1
78,0,4,0,6.4,0,2,2,1,15,1
75,1,4,0,3.5,0,5,5,1,12,0
86,1,4,0,4.6,0,3,3,1,20,0
74,0,4,0,6.2,0,3,3,1,14,1
70,0,3,0,1.0,0,1,0,1,6,1
86,1,3,0,1.0,0,5,0,1,6,1
84,1,3,0,2.3,0,3,3,1,9,1
61,1,3,0,6.3,0,5,4,1,14,1
78,1,4,0,5.3,0,5,5,1,14,1
75,1,3,0,1.0,0,1,0,1,9,0
93,0,3,0,1.0,0,0,0,1,9,1
82,0,3,0,5.5,0,0,0,1,12,1
78,1,3,0,5.8,0,1,1,1,13,1
75,1,3,0,6.6,0,0,2,1,15,1
87,1,3,0,3.9,0,1,1,1,11,1
72,0,3,0,3.2,0,2,2,1,10,1
88,0,3,0,3.9,0,0,0,1,11,1
69,0,4,0,6.6,0,2,2,1,16,1
59,1,4,0,6.6,0,4,3,1,16,1
85,1,4,0,6.4,0,1,1,1,16,1
76,0,3,0,6.3,0,3,3,1,14,1
77,0,4,0,6.6,0,4,4,1,16,1
78,1,2,0,3.3,0,0,0,1,20,1
76,1,3,0,2.4,0,1,1,1,10,1
80,0,3,0,6.3,0,3,2,1,14,1
81,1,1,0,4.4,0,5,5,1,21,1
90,1,1,0,2.5,0,5,1,1,21,1
88,0,1,0,3.4,0,4,4,1,22,1
76,1,3,0,3.4,0,2,4,1,13,1
71,0,1,0,0.0,0,0,0,1,1,1
74,1,1,0,0.0,0,5,5,1,15,0
74,0,1,0,-0.7,0,3,2,1,7,1
61,1,3,0,3.4,0,0,0,1,15,1
80,1,1,0,1.7,0,1,5,1,10,1
69,1,1,0,-0.6,0,5,1,1,9,0
81,0,1,0,-0.6,0,1,1,1,9,1
71,0,3,0,3.2,0,1,1,1,13,0
76,1,1,0,3.4,0,1,1,1,11,1
70,0,3,0,3.1,0,1,1,1,14,1
80,1,2,0,2.5,0,0,2,1,12,1
73,0,2,0,2.5,0,0,2,1,12,1
80,0,1,0,-0.2,0,3,5,1,9,1
55,1,2,0,4.2,0,0,0,1,17,1
80,0,2,0,4.2,0,0,0,1,17,1
76,0,3,0,4.1,0,2,2,1,15,1
72,1,3,0,4.1,0,2,2,1,15,1
77,1,2,0,4.0,0,2,2,1,16,0
50,0,2,0,4.3,0,1,5,1,17,1
89,0,1,0,3.4,0,3,3,1,18,1
58,0,1,0,2.3,0,4,3,1,20,1
90,1,1,0,1.7,0,3,3,1,10,1
80,1,3,0,4.1,0,1,5,1,15,1
70,0,3,0,1.8,0,1,1,1,2,1
74,1,1,0,3.4,0,2,4,1,18,1
83,0,4,0,1.4,0,3,1,1,9,1
80,0,2,0,7.7,0,1,0,1,14,1
84,1,4,0,1.5,0,5,5,1,9,1
71,1,2,0,4.9,0,0,0,1,11,1
72,0,2,0,7.2,0,3,3,1,13,1
83,0,2,0,4.8,0,5,5,1,11,1
65,0,2,0,5.0,0,5,1,1,18,1
91,1,2,0,6.6,0,4,0,1,13,0
89,1,2,0,6.6,0,0,0,1,13,1
73,0,2,0,8.2,0,0,0,1,15,1
76,1,2,0,5.2,0,4,4,1,19,1
85,1,2,0,7.2,0,4,4,1,13,1
84,0,2,0,4.2,0,1,1,1,19,1
68,1,2,0,4.2,0,1,1,1,19,1
86,1,2,0,5.7,0,5,5,1,18,1
66,0,3,0,4.7,0,4,4,1,20,1
80,0,2,0,3.0,0,2,2,1,23,1
89,1,3,0,1.3,0,3,3,1,5,1
76,1,2,0,6.3,0,4,4,1,17,1
76,0,3,0,1.6,0,3,2,1,6,1
61,1,4,0,4.1,0,4,1,1,12,1
83,0,4,0,1.5,0,5,5,1,8,1
90,1,4,0,1.9,0,3,0,1,9,1
70,0,4,0,2.8,0,2,5,1,10,1
78,0,4,0,5.1,0,2,2,1,13,1
70,1,4,0,2.5,0,4,0,1,10,1
70,0,4,1,4.7,0,3,0,1,14,1
89,1,4,0,4.7,0,1,1,1,13,1
65,0,4,1,3.7,0,5,5,1,20,1
77,1,4,1,4.4,0,0,0,1,15,1
79,0,4,0,1.2,0,1,1,1,8,0
75,1,4,0,1.2,0,3,1,1,8,1
83,1,4,0,4.7,0,3,0,1,13,1
80,1,4,1,3.6,0,5,4,1,17,1
74,0,4,1,4.4,0,2,2,1,15,0
88,0,4,1,4.4,0,5,5,1,15,1
79,0,4,1,4.4,0,3,3,1,15,1
58,0,4,1,3.6,0,3,3,1,17,1
69,0,4,1,3.5,0,0,0,1,22,1
87,1,4,1,4.0,0,3,0,1,2,1
87,0,4,1,3.2,0,1,1,1,19,1
68,1,3,0,4.1,0,4,4,1,8,1
78,1,3,0,6.3,0,2,2,1,14,1
75,0,3,0,6.3,0,4,2,1,14,1
65,0,4,0,4.1,0,3,3,1,9,1
83,0,4,0,4.6,0,1,1,1,11,1
94,1,4,0,4.0,0,1,1,1,9,0
57,0,4,0,5.1,0,5,0,1,12,1
78,1,4,0,4.1,0,5,5,1,9,1
82,0,3,1,3.6,0,0,0,1,8,1
80,1,3,1,3.6,0,3,0,1,8,1
84,0,4,0,4.6,0,1,0,1,11,1
86,0,3,0,6.6,0,2,2,1,16,1
91,1,3,0,6.2,0,1,2,1,17,1
75,1,3,0,6.5,0,2,3,1,15,1
76,1,4,0,4.3,0,0,0,1,10,0
63,1,3,0,2.4,0,1,1,1,19,1
75,0,3,0,6.2,0,5,5,1,17,0
79,0,3,0,6.3,0,0,0,1,16,0
93,1,3,0,6.5,0,4,4,1,15,1
84,1,1,0,-1.9,0,5,5,1,6,1
82,1,3,0,1.6,0,2,2,1,22,1
64,1,1,0,-0.7,0,0,5,1,12,1
69,0,1,0,-2.5,0,2,2,1,10,1
70,1,1,0,-0.9,0,2,0,1,15,1
84,0,1,0,-2.0,0,4,1,1,12,1
77,0,1,0,-0.1,0,2,2,1,14,0
86,0,1,0,-0.9,0,1,1,1,16,1
76,0,1,0,0.0,0,5,5,1,15,1
69,1,1,0,-0.7,0,4,4,1,12,0
84,1,1,0,-5.0,0,3,1,1,9,1
87,0,2,0,-1.3,0,4,4,1,5,1
67,1,1,0,-1.6,0,0,0,1,17,1
75,0,2,0,0.5,0,3,3,1,14,1
77,0,1,0,-8.0,0,0,0,1,3,1
78,1,2,0,-7.3,0,4,4,1,8,1
87,1,2,0,-6.9,0,3,3,1,9,1
97,1,2,0,-6.9,0,3,3,1,9,1
61,0,2,0,-5.3,0,0,0,1,10,0
66,0,2,0,-2.0,0,5,4,1,12,1
83,1,2,0,-2.0,0,4,4,1,12,0
75,1,2,0,-1.1,0,0,5,1,13,1
77,1,1,0,0.0,0,3,3,1,18,1
68,0,1,0,0.0,0,5,3,1,18,1
82,0,1,0,1.4,1,5,5,1,15,1
90,1,2,0,0.5,0,0,5,1,14,1
80,0,1,0,2.2,0,1,1,1,16,1
83,1,1,0,0.0,0,5,4,1,18,1
75,0,2,0,-6.9,0,3,2,1,9,1
76,0,2,0,-3.9,0,2,2,1,11,1
73,0,1,0,2.1,0,3,3,1,16,0
64,0,3,0,-3.6,0,4,2,1,5,1
66,0,4,0,3.4,0,5,5,12,16,1
67,1,4,0,-2.2,0,1,1,1,9,1
81,0,4,0,-2.2,0,1,1,1,9,1
82,1,4,0,1.5,0,5,3,1,13,1
82,0,4,0,1.5,0,3,3,1,13,1
76,0,4,0,1.5,0,3,3,1,13,1
78,0,4,0,0.0,0,2,1,1,11,1
75,1,4,0,2.4,0,2,2,1,14,1
76,0,4,0,2.4,0,0,2,1,14,0
89,1,4,0,2.7,0,3,2,1,15,1
86,1,4,0,-0.9,0,5,5,1,10,1
72,0,4,0,-0.2,0,4,4,1,11,1
84,0,4,0,3.0,0,4,4,1,16,0
80,0,4,0,1.5,0,1,2,1,13,1
90,1,4,0,2.8,0,4,4,1,17,1
85,1,4,0,-0.2,0,5,5,1,11,1
83,1,4,0,2.4,0,3,2,1,18,1
81,0,4,0,2.7,0,5,5,1,15,1
56,0,4,0,2.8,0,3,3,1,17,0
67,1,4,0,1.2,0,4,5,1,22,1
86,1,1,0,-6.1,0,2,1,1,22,1
81,0,1,0,-1.7,0,5,5,1,4,1
77,0,1,0,-1.7,0,2,2,1,4,1
68,1,4,0,1.2,0,5,5,1,21,1
87,1,3,0,-1.6,0,4,4,1,6,1
67,1,2,0,-3.0,0,1,1,1,10,1
76,0,1,0,0.5,0,2,2,1,15,1
71,0,2,0,-1.1,0,2,2,1,11,0
77,1,2,0,-1.6,0,5,5,1,10,1
78,0,1,0,0.8,0,4,4,1,13,0
87,1,1,0,0.8,0,4,2,1,14,1
54,0,1,0,0.8,0,5,2,1,13,1
83,0,1,0,0.8,0,3,3,1,13,1
73,0,1,0,0.5,0,5,2,1,16,1
69,0,1,0,-1.1,0,5,5,1,18,1
85,0,1,0,-3.1,0,2,2,1,20,1
62,0,1,0,-2.9,0,0,0,1,19,1
70,1,1,0,-5.8,0,4,4,1,5,1
82,0,1,0,-6.4,0,2,2,1,7,1
69,0,1,0,0.1,0,1,1,1,15,1
82,0,1,0,-5.0,0,5,5,1,10,1
72,0,1,0,-5.8,0,2,2,1,9,1
80,0,1,0,-3.3,0,1,1,1,11,1
